src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.87,64.12.104.73,1258,443,tcp,0x00,0x40,128,aim,chat,nonvpn,TLS
131.202.240.87,64.12.104.85,1254,443,tcp,0x00,0x40,107,aim,chat,nonvpn,TLS
64.12.104.73,131.202.240.87,443,1258,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
64.12.104.85,131.202.240.87,443,1254,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
131.202.240.87,64.12.104.73,13389,443,tcp,0x00,0x40,128,aim,chat,nonvpn,TLS
131.202.240.87,64.12.24.167,13385,443,tcp,0x00,0x40,107,aim,chat,nonvpn,TLS
64.12.104.73,131.202.240.87,443,13389,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
64.12.24.167,131.202.240.87,443,13385,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
131.202.240.87,178.237.19.228,13407,443,tcp,0x00,0x40,60,aim,chat,nonvpn,TLS
131.202.240.87,178.237.19.103,13404,443,tcp,0x00,0x40,60,aim,chat,nonvpn,TLS
178.237.19.228,131.202.240.87,443,13407,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
178.237.19.103,131.202.240.87,443,13404,tcp,0x00,0x40,60,aim,chat,nonvpn,TCP
131.202.240.87,131.202.243.255,137,137,udp,0x00,0x00,92,aim,chat,nonvpn,NBNS
131.202.240.87,224.0.0.252,56503,5355,udp,0x00,0x00,64,aim,chat,nonvpn,LLMNR
131.202.240.87,224.0.0.252,62706,5355,udp,0x00,0x00,64,aim,chat,nonvpn,LLMNR
131.202.240.87,224.0.0.252,62706,5355,udp,0x00,0x00,64,aim,chat,nonvpn,LLMNR
131.202.240.87,224.0.0.252,56503,5355,udp,0x00,0x00,64,aim,chat,nonvpn,LLMNR
131.202.240.87,64.12.24.167,13385,443,tcp,0x00,0x40,235,aim,chat,nonvpn,TLS
64.12.24.167,131.202.240.87,443,13385,tcp,0x00,0x40,315,aim,chat,nonvpn,TLS
64.12.24.167,131.202.240.87,443,13385,tcp,0x00,0x40,155,aim,chat,nonvpn,TLS
131.202.240.87,64.12.24.167,13385,443,tcp,0x00,0x40,54,aim,chat,nonvpn,TCP
64.12.104.85,131.202.240.87,443,1254,tcp,0x00,0x40,347,aim,chat,nonvpn,TLS
64.12.24.167,131.202.240.87,443,13385,tcp,0x00,0x40,373,aim,chat,nonvpn,TLS
131.202.240.87,64.12.104.85,1254,443,tcp,0x00,0x40,54,aim,chat,nonvpn,TCP
131.202.240.87,64.12.24.167,13385,443,tcp,0x00,0x40,54,aim,chat,nonvpn,TCP
131.202.240.87,131.202.243.255,137,137,udp,0x00,0x00,92,aim,chat,nonvpn,NBNS
131.202.240.87,131.202.243.255,137,137,udp,0x00,0x00,92,aim,chat,nonvpn,NBNS
