,src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
0,131.202.240.87,64.12.104.73,13389,443,tcp,0x00,0x40,128,facebook,chat,nonvpn,TLS
1,131.202.240.87,64.12.24.167,13385,443,tcp,0x00,0x40,107,facebook,chat,nonvpn,TLS
2,64.12.104.73,131.202.240.87,443,13389,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
3,64.12.24.167,131.202.240.87,443,13385,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
4,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,535,facebook,chat,nonvpn,TLS
5,131.202.240.87,131.202.244.3,56944,53,udp,0x00,0x40,84,facebook,chat,nonvpn,DNS
6,131.202.244.3,131.202.240.87,53,56944,udp,0x00,0x00,191,facebook,chat,nonvpn,DNS
7,131.202.240.87,131.202.244.3,56944,53,udp,0x00,0x40,84,facebook,chat,nonvpn,DNS
8,131.202.244.3,131.202.240.87,53,56944,udp,0x00,0x00,203,facebook,chat,nonvpn,DNS
9,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1296,facebook,chat,nonvpn,TLS
10,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
11,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
12,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
13,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1054,facebook,chat,nonvpn,TLS
14,131.202.240.87,131.202.244.3,56945,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
15,131.202.244.3,131.202.240.87,53,56945,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
16,131.202.240.87,131.202.244.3,56945,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
17,131.202.244.3,131.202.240.87,53,56945,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
18,131.202.240.87,178.237.19.228,13407,443,tcp,0x00,0x40,60,facebook,chat,nonvpn,TLS
19,131.202.240.87,178.237.19.103,13404,443,tcp,0x00,0x40,60,facebook,chat,nonvpn,TLS
20,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
21,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
22,178.237.19.228,131.202.240.87,443,13407,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
23,178.237.19.103,131.202.240.87,443,13404,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
24,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
25,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
26,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,343,facebook,chat,nonvpn,TLS
27,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
28,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,126,facebook,chat,nonvpn,TLS
29,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
30,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
31,131.202.240.87,209.148.205.26,3229,443,tcp,0x00,0x40,91,facebook,chat,nonvpn,TLS
32,209.148.205.26,131.202.240.87,443,3229,tcp,0x00,0x40,91,facebook,chat,nonvpn,TLS
33,131.202.240.87,209.148.205.26,3229,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
34,131.202.240.87,131.202.244.3,56950,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
35,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
36,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
37,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,303,facebook,chat,nonvpn,TLS
38,131.202.244.3,131.202.240.87,53,56950,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
39,131.202.240.87,131.202.244.3,56950,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
40,131.202.244.3,131.202.240.87,53,56950,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
41,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
42,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
43,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
44,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1355,facebook,chat,nonvpn,TLS
45,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1345,facebook,chat,nonvpn,TLS
46,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1298,facebook,chat,nonvpn,TLS
47,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
48,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,333,facebook,chat,nonvpn,TLS
49,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
50,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,199,facebook,chat,nonvpn,TLS
51,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
52,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
53,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
54,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,387,facebook,chat,nonvpn,TLS
55,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
56,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1137,facebook,chat,nonvpn,TLS
57,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
58,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
59,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
60,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,1344,facebook,chat,nonvpn,TLS
61,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,327,facebook,chat,nonvpn,DATA
62,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
63,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
64,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
65,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,419,facebook,chat,nonvpn,DATA
66,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,77,facebook,chat,nonvpn,DATA
67,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,74,facebook,chat,nonvpn,DATA
68,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,119,facebook,chat,nonvpn,DATA
69,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
70,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
71,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
72,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,88,facebook,chat,nonvpn,DATA
73,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,263,facebook,chat,nonvpn,DATA
74,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,82,facebook,chat,nonvpn,DATA
75,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,341,facebook,chat,nonvpn,DATA
76,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
77,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,268,facebook,chat,nonvpn,DATA
78,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,80,facebook,chat,nonvpn,DATA
79,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
80,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,71,facebook,chat,nonvpn,DATA
81,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
82,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
83,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
84,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
85,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,93,facebook,chat,nonvpn,DATA
86,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,428,facebook,chat,nonvpn,DATA
87,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,88,facebook,chat,nonvpn,DATA
88,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
89,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,306,facebook,chat,nonvpn,TLS
90,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
