src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1202,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1201,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1202,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1201,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1202,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1201,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1132,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1132,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1133,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,1132,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1191,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1192,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1191,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1192,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1191,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1192,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1191,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1192,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1191,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,35146,51424,udp,0x00,0x40,114,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,35146,51424,udp,0x00,0x40,113,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51424,35146,udp,0x00,0x00,149,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51424,35146,udp,0x00,0x00,153,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,120,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,35146,51424,udp,0x00,0x40,116,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51425,38633,udp,0x00,0x00,136,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,35146,51424,udp,0x00,0x40,112,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51424,35146,udp,0x00,0x00,153,facebook,video,nonvpn,DATA
131.202.240.87,131.202.240.150,51424,35146,udp,0x00,0x00,152,facebook,video,nonvpn,DATA
131.202.240.87,173.252.79.94,51424,443,udp,0x00,0x00,62,facebook,video,nonvpn,STUN
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1097,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1097,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1096,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
131.202.240.150,131.202.240.87,38633,51425,udp,0x00,0x40,1182,facebook,video,nonvpn,DATA
