src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,755,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,652,gmail,chat,nonvpn,TLS
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,99,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
131.202.240.87,74.125.226.182,23242,443,tcp,0x00,0x40,95,gmail,chat,nonvpn,TLS
74.125.226.182,131.202.240.87,443,23242,tcp,0x00,0x00,60,gmail,chat,nonvpn,TCP
74.125.226.182,131.202.240.87,443,23242,tcp,0x00,0x00,95,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.182,23242,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,752,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,652,gmail,chat,nonvpn,TLS
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,99,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,377,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.164,23377,443,tcp,0x00,0x40,95,gmail,chat,nonvpn,TLS
74.125.226.164,131.202.240.87,443,23377,tcp,0x00,0x00,60,gmail,chat,nonvpn,TCP
74.125.226.164,131.202.240.87,443,23377,tcp,0x00,0x00,95,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.164,23377,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,99,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,794,gmail,chat,nonvpn,TLS
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,1404,gmail,chat,nonvpn,TLS
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,310,gmail,chat,nonvpn,TCP.SEGMENTS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,174,gmail,chat,nonvpn,TLS
173.252.100.27,131.202.240.87,443,1088,tcp,0x00,0x40,101,gmail,chat,nonvpn,TLS
131.202.240.87,173.252.100.27,1088,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
131.202.240.87,74.125.226.161,23311,443,tcp,0x00,0x40,465,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.169,54601,443,udp,0x00,0x00,1392,gmail,chat,nonvpn,GQUIC
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,60,gmail,chat,nonvpn,TCP
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,92,gmail,chat,nonvpn,TLS
74.125.226.169,131.202.240.87,443,54601,udp,0x00,0x00,1392,gmail,chat,nonvpn,GQUIC
131.202.240.87,74.125.226.169,54601,443,udp,0x00,0x00,79,gmail,chat,nonvpn,GQUIC
131.202.240.87,74.125.226.161,23311,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,174,gmail,chat,nonvpn,TLS
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,354,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.161,23311,443,tcp,0x00,0x40,54,gmail,chat,nonvpn,TCP
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,92,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.161,23311,443,tcp,0x00,0x40,92,gmail,chat,nonvpn,TLS
74.125.226.161,131.202.240.87,443,23311,tcp,0x00,0x00,60,gmail,chat,nonvpn,TCP
131.202.240.87,131.202.244.3,54602,53,udp,0x00,0x40,79,gmail,chat,nonvpn,DNS
131.202.244.3,131.202.240.87,53,54602,udp,0x00,0x00,415,gmail,chat,nonvpn,DNS
131.202.240.87,131.202.244.3,54602,53,udp,0x00,0x40,79,gmail,chat,nonvpn,DNS
131.202.244.3,131.202.240.87,53,54602,udp,0x00,0x00,267,gmail,chat,nonvpn,DNS
131.202.240.87,74.125.226.164,23281,443,tcp,0x00,0x40,1404,gmail,chat,nonvpn,TLS
131.202.240.87,74.125.226.164,23281,443,tcp,0x00,0x40,1393,gmail,chat,nonvpn,TCP.SEGMENTS
