src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,224.0.0.252,49674,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,58807,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,49674,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,58807,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,391,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,231,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,77,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,256,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,82,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,263,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,209,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,77,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,191,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,140,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,85,hangout,chat,nonvpn,DATA
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,224.0.0.252,54646,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,49421,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,268,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,206,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,77,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,277,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,470,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,82,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,82,hangout,chat,nonvpn,DATA
131.202.240.242,224.0.0.252,49421,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,54646,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,131.202.244.32,51434,161,udp,0x00,0x00,121,hangout,chat,nonvpn,SNMP
131.202.244.32,131.202.240.242,161,51434,udp,0x00,0x00,136,hangout,chat,nonvpn,SNMP
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,467,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,79,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,482,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,79,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,272,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,356,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,469,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,77,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,79,hangout,chat,nonvpn,DATA
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,224.0.0.252,61141,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,51495,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,191,hangout,chat,nonvpn,DATA
173.194.123.100,131.202.240.242,443,50816,udp,0x00,0x00,286,hangout,chat,nonvpn,DATA
131.202.240.242,173.194.123.100,50816,443,udp,0x00,0x00,85,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,1392,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,854,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,82,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,296,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,373,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,89,hangout,chat,nonvpn,DATA
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,168,hangout,chat,nonvpn,DATA
131.202.240.242,74.125.26.189,61417,443,udp,0x00,0x00,82,hangout,chat,nonvpn,DATA
131.202.240.242,224.0.0.252,61141,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,224.0.0.252,51495,5355,udp,0x00,0x00,64,hangout,chat,nonvpn,LLMNR
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.243.255,137,137,udp,0x00,0x00,92,hangout,chat,nonvpn,NBNS
131.202.240.242,131.202.240.45,51434,161,udp,0x00,0x00,121,hangout,chat,nonvpn,SNMP
131.202.240.242,131.202.240.45,51434,161,udp,0x00,0x00,121,hangout,chat,nonvpn,SNMP
131.202.240.242,131.202.240.45,51434,161,udp,0x00,0x00,121,hangout,chat,nonvpn,SNMP
131.202.240.242,131.202.240.45,51434,161,udp,0x00,0x00,121,hangout,chat,nonvpn,SNMP
131.202.240.45,131.202.240.242,161,51434,udp,0x00,0x40,136,hangout,chat,nonvpn,SNMP
131.202.240.45,131.202.240.242,161,51434,udp,0x00,0x40,136,hangout,chat,nonvpn,SNMP
131.202.240.45,131.202.240.242,161,51434,udp,0x00,0x40,136,hangout,chat,nonvpn,SNMP
131.202.240.45,131.202.240.242,161,51434,udp,0x00,0x40,136,hangout,chat,nonvpn,SNMP
131.202.240.242,173.194.210.188,32506,5228,tcp,0x00,0x40,55,hangout,chat,nonvpn,DATA
173.194.210.188,131.202.240.242,5228,32506,tcp,0x00,0x00,66,hangout,chat,nonvpn,TCP
74.125.26.189,131.202.240.242,443,61417,udp,0x00,0x00,482,hangout,chat,nonvpn,DATA
