src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.87,64.12.27.65,64345,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.73,39237,443,tcp,0x00,0x40,128,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.85,39235,443,tcp,0x00,0x40,107,icq,chat,nonvpn,TLS
64.12.27.65,131.202.240.87,443,64345,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.104.73,131.202.240.87,443,39237,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.104.85,131.202.240.87,443,39235,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
131.202.240.87,178.237.19.228,64205,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,178.237.19.103,64201,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
178.237.19.103,131.202.240.87,443,64201,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
178.237.19.228,131.202.240.87,443,64205,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
131.202.240.87,178.237.24.202,64364,443,tcp,0x00,0x40,179,icq,chat,nonvpn,TLS
178.237.24.202,131.202.240.87,443,64364,tcp,0x00,0x40,263,icq,chat,nonvpn,TLS
178.237.24.202,131.202.240.87,443,64364,tcp,0x00,0x40,136,icq,chat,nonvpn,TLS
131.202.240.87,178.237.24.202,64364,443,tcp,0x00,0x40,54,icq,chat,nonvpn,TCP
178.237.19.103,131.202.240.87,443,64201,tcp,0x00,0x40,391,icq,chat,nonvpn,TLS
131.202.240.87,178.237.19.103,64201,443,tcp,0x00,0x40,54,icq,chat,nonvpn,TCP
131.202.240.87,178.237.19.103,64201,443,tcp,0x00,0x40,92,icq,chat,nonvpn,TLS
178.237.19.103,131.202.240.87,443,64201,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
178.237.24.202,131.202.240.87,443,64364,tcp,0x00,0x40,92,icq,chat,nonvpn,TLS
131.202.240.87,178.237.24.202,64364,443,tcp,0x00,0x40,54,icq,chat,nonvpn,TCP
131.202.240.87,173.194.204.188,64231,5228,tcp,0x00,0x40,55,icq,chat,nonvpn,DATA
173.194.204.188,131.202.240.87,5228,64231,tcp,0x00,0x00,66,icq,chat,nonvpn,TCP
131.202.240.87,64.12.27.66,64368,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.73,64366,443,tcp,0x00,0x40,128,icq,chat,nonvpn,TLS
131.202.240.87,64.12.24.167,64362,443,tcp,0x00,0x40,107,icq,chat,nonvpn,TLS
64.12.27.66,131.202.240.87,443,64368,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.104.73,131.202.240.87,443,64366,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.24.167,131.202.240.87,443,64362,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
131.202.240.87,131.202.244.3,11008,53,udp,0x00,0x40,75,icq,chat,nonvpn,DNS
131.202.244.3,131.202.240.87,53,11008,udp,0x00,0x00,553,icq,chat,nonvpn,DNS
131.202.240.87,49.212.186.27,11009,123,udp,0x00,0x40,90,icq,chat,nonvpn,NTP
49.212.186.27,131.202.240.87,123,11009,udp,0x00,0x40,90,icq,chat,nonvpn,NTP
131.202.240.87,64.12.27.65,64345,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.73,39237,443,tcp,0x00,0x40,128,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.85,39235,443,tcp,0x00,0x40,107,icq,chat,nonvpn,TLS
64.12.104.73,131.202.240.87,443,39237,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.27.65,131.202.240.87,443,64345,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.104.85,131.202.240.87,443,39235,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
131.202.240.87,178.237.19.228,64205,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,178.237.19.103,64201,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
178.237.19.103,131.202.240.87,443,64201,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
178.237.19.228,131.202.240.87,443,64205,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
131.202.240.87,64.12.27.66,64368,443,tcp,0x00,0x40,60,icq,chat,nonvpn,TLS
131.202.240.87,64.12.104.73,64366,443,tcp,0x00,0x40,128,icq,chat,nonvpn,TLS
131.202.240.87,64.12.24.167,64362,443,tcp,0x00,0x40,107,icq,chat,nonvpn,TLS
64.12.27.66,131.202.240.87,443,64368,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.104.73,131.202.240.87,443,64366,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
64.12.24.167,131.202.240.87,443,64362,tcp,0x00,0x40,60,icq,chat,nonvpn,TCP
