src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.157,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
131.202.243.154,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
131.202.243.154,224.0.0.252,51597,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
131.202.243.154,224.0.0.252,64805,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
131.202.240.225,224.0.0.251,5353,5353,udp,0x00,0x40,87,skype,chat,nonvpn,MDNS
131.202.240.93,255.255.255.255,56365,10505,udp,0x00,0x00,127,skype,chat,nonvpn,DATA
fe80::4a5b:39ff:fe37:cd02,ff02::fb,5353,5353,udp,,,107,skype,chat,nonvpn,MDNS
131.202.240.84,224.0.0.251,5353,5353,udp,0x00,0x40,87,skype,chat,nonvpn,MDNS
131.202.243.49,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
131.202.240.117,255.255.255.255,65116,10505,udp,0x00,0x00,131,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,1408,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,75,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,1078,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,381,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,1078,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,382,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,99,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,1078,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,374,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,462,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,75,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,100,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,83,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,100,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,82,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,99,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,82,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,101,skype,chat,nonvpn,DATA
fe80::7d39:f86f:fc49:f07c,ff02::1:2,546,547,udp,,,150,skype,chat,nonvpn,DHCPV6
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,60,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,82,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,186,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,82,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,75,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,60,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,81,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,82,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,81,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,103,skype,chat,nonvpn,DATA
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,60,skype,chat,nonvpn,TCP
131.202.240.87,131.202.240.242,42322,5619,tcp,0x00,0x40,80,skype,chat,nonvpn,DATA
131.202.240.242,131.202.240.87,5619,42322,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.242.93,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
131.202.242.93,224.0.0.252,52825,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
fe80::2c5a:e25e:653f:8c01,ff02::1:3,52825,5355,udp,,,84,skype,chat,nonvpn,LLMNR
fe80::2c5a:e25e:653f:8c01,ff02::1:3,58633,5355,udp,,,84,skype,chat,nonvpn,LLMNR
131.202.242.93,224.0.0.252,58633,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
fe80::baca:3aff:fea4:8780,ff02::fb,5353,5353,udp,,,107,skype,chat,nonvpn,MDNS
131.202.240.206,224.0.0.251,5353,5353,udp,0x00,0x40,87,skype,chat,nonvpn,MDNS
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,1404,skype,chat,nonvpn,TLS
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,164,skype,chat,nonvpn,TCP
131.202.240.242,157.56.126.188,5589,443,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,1404,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,164,skype,chat,nonvpn,TCP
131.202.240.242,157.56.126.188,5589,443,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,1404,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,164,skype,chat,nonvpn,TCP
131.202.240.242,157.56.126.188,5589,443,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,1404,skype,chat,nonvpn,TCP
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,164,skype,chat,nonvpn,TCP
131.202.240.242,157.56.126.188,5589,443,tcp,0x00,0x40,54,skype,chat,nonvpn,TCP
131.202.243.49,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
131.202.243.49,224.0.0.252,63738,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
fe80::7d39:f86f:fc49:f07c,ff02::1:3,63738,5355,udp,,,84,skype,chat,nonvpn,LLMNR
fe80::7d39:f86f:fc49:f07c,ff02::1:3,64236,5355,udp,,,84,skype,chat,nonvpn,LLMNR
131.202.243.49,224.0.0.252,64236,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
131.202.243.154,224.0.0.252,51597,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
131.202.243.154,224.0.0.252,64805,5355,udp,0x00,0x00,64,skype,chat,nonvpn,LLMNR
131.202.240.157,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
fe80::4a5b:39ff:fe37:cd02,ff02::fb,5353,5353,udp,,,107,skype,chat,nonvpn,MDNS
131.202.240.84,224.0.0.251,5353,5353,udp,0x00,0x40,87,skype,chat,nonvpn,MDNS
131.202.240.185,131.202.243.255,137,137,udp,0x00,0x00,92,skype,chat,nonvpn,NBNS
157.56.126.188,131.202.240.242,443,5589,tcp,0x00,0x40,60,skype,chat,nonvpn,TCP.SEGMENTS
131.202.240.242,157.56.126.188,5589,443,tcp,0x00,0x40,539,skype,chat,nonvpn,TLS
