src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
fe80::649d:28f4:e276:7158,ff02::1:3,58618,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
fe80::649d:28f4:e276:7158,ff02::1:3,50197,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
131.202.240.90,224.0.0.252,58618,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
131.202.240.90,224.0.0.252,50197,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
131.202.240.185,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
131.202.240.185,224.0.0.252,60232,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
fe80::9897:a90b:afe1:7058,ff02::1:3,60232,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
fe80::9897:a90b:afe1:7058,ff02::1:3,51586,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
131.202.240.185,224.0.0.252,51586,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
131.202.243.9,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
131.202.240.183,239.255.255.250,13960,1900,udp,0x00,0x00,215,skype,filetransfer,nonvpn,SSDP
131.202.240.183,239.255.255.250,13960,1900,udp,0x00,0x00,215,skype,filetransfer,nonvpn,SSDP
131.202.243.49,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
131.202.243.9,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
131.202.242.93,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
131.202.240.90,131.202.243.255,137,137,udp,0x00,0x00,92,skype,filetransfer,nonvpn,NBNS
fe80::9897:a90b:afe1:7058,ff02::1:3,57900,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
fe80::9897:a90b:afe1:7058,ff02::1:3,50415,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
131.202.240.185,224.0.0.252,50415,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
131.202.240.185,224.0.0.252,57900,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
fe80::b6b5:2fff:feca:45f1,ff02::fb,5353,5353,udp,,,107,skype,filetransfer,nonvpn,MDNS
131.202.240.64,224.0.0.251,5353,5353,udp,0x00,0x40,87,skype,filetransfer,nonvpn,MDNS
fe80::9897:a90b:afe1:7058,ff02::1:3,60232,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
fe80::9897:a90b:afe1:7058,ff02::1:3,51586,5355,udp,,,84,skype,filetransfer,nonvpn,LLMNR
131.202.240.185,224.0.0.252,60232,5355,udp,0x00,0x00,64,skype,filetransfer,nonvpn,LLMNR
