src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,142,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1052,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1052,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1051,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,81,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,138,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,142,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,159,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,963,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,138,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,139,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1042,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1042,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1042,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1220,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,136,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,129,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,162,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,138,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,884,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,142,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,81,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,145,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,165,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,717,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,712,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,82,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,60,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1013,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1013,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1013,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,141,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,137,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1257,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1257,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1257,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1257,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,160,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,140,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,156,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,866,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,153,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,141,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1031,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1031,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1030,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,156,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,870,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,864,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,143,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1301,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1301,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1301,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1301,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,142,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,154,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,80,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,149,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,82,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1173,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1023,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1023,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1022,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,137,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,149,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1066,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1060,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,129,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,135,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,165,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1110,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,150,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,131,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,139,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1229,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1228,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1228,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1228,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,137,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,144,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1175,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,127,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,133,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,82,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1281,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1281,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1280,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1280,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1045,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,139,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,138,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1255,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1255,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1255,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1255,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,131,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,132,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,763,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,758,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,154,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,153,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1022,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1022,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1021,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,136,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,143,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,146,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1361,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1058,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1058,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,1058,skype,video,nonvpn,_WS.MALFORMED
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,155,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,776,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,770,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,1060,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,159,skype,video,nonvpn,DATA
131.202.240.150,131.202.240.86,40273,49624,udp,0x00,0x40,81,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,134,skype,video,nonvpn,DATA
131.202.240.86,131.202.240.150,49624,40273,udp,0x00,0x00,145,skype,video,nonvpn,DATA
