src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
131.202.240.150,77.72.169.20,56687,443,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
131.202.240.150,77.72.169.20,56691,443,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
131.202.240.150,77.72.169.20,56690,443,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
77.72.169.20,131.202.240.150,443,56687,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
77.72.169.20,131.202.240.150,443,56690,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
77.72.169.20,131.202.240.150,443,56691,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
131.202.240.150,131.202.243.255,57621,57621,udp,0x00,0x40,86,spotify,stream,nonvpn,DATA
131.202.240.150,216.58.219.225,36085,443,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
216.58.219.225,131.202.240.150,443,36085,tcp,0x00,0x00,66,spotify,stream,nonvpn,TCP
131.202.240.150,162.208.20.166,37414,443,tcp,0x00,0x40,54,spotify,stream,nonvpn,TCP
162.208.20.166,131.202.240.150,443,37414,tcp,0x00,0x40,60,spotify,stream,nonvpn,TCP
131.202.240.150,131.202.244.3,58607,53,udp,0x00,0x40,81,spotify,stream,nonvpn,DNS
131.202.240.150,131.202.244.5,58607,53,udp,0x00,0x40,81,spotify,stream,nonvpn,DNS
131.202.240.150,131.202.6.3,58607,53,udp,0x00,0x40,81,spotify,stream,nonvpn,DNS
131.202.244.3,131.202.240.150,53,58607,udp,0x00,0x00,356,spotify,stream,nonvpn,DNS
131.202.240.150,193.182.8.113,44067,80,tcp,0x00,0x40,74,spotify,stream,nonvpn,TCP
193.182.8.113,131.202.240.150,80,44067,tcp,0x00,0x40,74,spotify,stream,nonvpn,TCP
131.202.240.150,193.182.8.113,44067,80,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
131.202.240.150,193.182.8.113,44067,80,tcp,0x00,0x40,233,spotify,stream,nonvpn,HTTP
131.202.6.3,131.202.240.150,53,58607,udp,0x00,0x00,356,spotify,stream,nonvpn,DNS
131.202.244.5,131.202.240.150,53,58607,udp,0x00,0x00,356,spotify,stream,nonvpn,DNS
193.182.8.113,131.202.240.150,80,44067,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
193.182.8.113,131.202.240.150,80,44067,tcp,0x00,0x40,580,spotify,stream,nonvpn,JSON
131.202.240.150,193.182.8.113,44067,80,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
193.182.8.113,131.202.240.150,80,44067,tcp,0x00,0x40,66,spotify,stream,nonvpn,TCP
