src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
fe80::baca:3aff:fea3:f883,ff02::fb,5353,5353,udp,,,106,thunderbird,email,nonvpn,MDNS
131.202.240.217,224.0.0.251,5353,5353,udp,0x00,0x40,86,thunderbird,email,nonvpn,MDNS
131.202.240.183,131.202.243.255,54357,32412,udp,0x00,0x00,63,thunderbird,email,nonvpn,DATA
131.202.240.183,131.202.243.255,54361,32414,udp,0x00,0x00,63,thunderbird,email,nonvpn,DATA
131.202.240.97,131.202.243.255,4644,4644,udp,0x00,0x40,80,thunderbird,email,nonvpn,DATA
fe80::baac:6fff:fe36:a8b,ff02::fb,5353,5353,udp,,,106,thunderbird,email,nonvpn,MDNS
131.202.240.94,224.0.0.251,5353,5353,udp,0x00,0x40,86,thunderbird,email,nonvpn,MDNS
131.202.240.102,131.202.243.255,137,137,udp,0x00,0x00,92,thunderbird,email,nonvpn,NBNS
131.202.240.102,224.0.0.252,53913,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
131.202.240.102,224.0.0.252,55548,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
131.202.240.79,131.202.243.255,137,137,udp,0x00,0x00,92,thunderbird,email,nonvpn,NBNS
131.202.240.79,224.0.0.252,60099,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
fe80::5c70:a57b:6c09:9bf9,ff02::1:3,60099,5355,udp,,,84,thunderbird,email,nonvpn,LLMNR
fe80::5c70:a57b:6c09:9bf9,ff02::1:3,58812,5355,udp,,,84,thunderbird,email,nonvpn,LLMNR
131.202.240.79,224.0.0.252,58812,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
131.202.240.225,224.0.0.251,5353,5353,udp,0x00,0x40,86,thunderbird,email,nonvpn,MDNS
131.202.240.102,224.0.0.252,53913,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
131.202.240.102,224.0.0.252,55548,5355,udp,0x00,0x00,64,thunderbird,email,nonvpn,LLMNR
fe80::5c70:a57b:6c09:9bf9,ff02::1:3,60099,5355,udp,,,84,thunderbird,email,nonvpn,LLMNR
fe80::5c70:a57b:6c09:9bf9,ff02::1:3,58812,5355,udp,,,84,thunderbird,email,nonvpn,LLMNR
