src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,1182,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,1127,facebook,audio,vpn,TLS
10.8.0.10,131.202.244.3,28156,53,udp,0x00,0x40,62,facebook,audio,vpn,DNS
10.8.0.10,131.202.244.5,28156,53,udp,0x00,0x40,62,facebook,audio,vpn,DNS
10.8.0.10,131.202.6.3,28156,53,udp,0x00,0x40,62,facebook,audio,vpn,DNS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,613,facebook,audio,vpn,TLS
131.202.244.5,10.8.0.10,53,28156,udp,0x00,0x00,169,facebook,audio,vpn,DNS
131.202.244.3,10.8.0.10,53,28156,udp,0x00,0x00,169,facebook,audio,vpn,DNS
131.202.6.3,10.8.0.10,53,28156,udp,0x00,0x00,169,facebook,audio,vpn,DNS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,1264,facebook,audio,vpn,TLS
10.8.0.10,131.202.244.5,38399,53,udp,0x00,0x40,62,facebook,audio,vpn,DNS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,286,facebook,audio,vpn,TLS
131.202.244.5,10.8.0.10,53,38399,udp,0x00,0x00,169,facebook,audio,vpn,DNS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,97,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,481,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,172,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,99,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,97,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,352,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,238,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,99,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,1138,facebook,audio,vpn,TLS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,97,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,334,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1352,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP.SEGMENTS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP.SEGMENTS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,669,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,553,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,275,facebook,audio,vpn,TCP.SEGMENTS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,845,facebook,audio,vpn,TLS
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,107,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
173.252.110.27,10.8.0.10,443,35745,tcp,0x00,0x40,99,facebook,audio,vpn,TLS
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
10.8.0.10,173.252.110.27,35745,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
10.8.0.10,131.202.244.5,25946,53,udp,0x00,0x40,69,facebook,audio,vpn,DNS
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,594,facebook,audio,vpn,TLS
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,594,facebook,audio,vpn,TLS
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,594,facebook,audio,vpn,TLS
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TLS
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
10.8.0.10,209.148.205.26,34040,443,tcp,0x00,0x40,52,facebook,audio,vpn,TCP
209.148.205.26,10.8.0.10,443,34040,tcp,0x00,0x40,1390,facebook,audio,vpn,TCP
