src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
10.8.8.130,198.7.63.141,49258,53,udp,0x00,0x40,65,hangout,chat,vpn,DNS
10.8.8.130,78.46.223.24,49258,53,udp,0x00,0x40,65,hangout,chat,vpn,DNS
10.8.8.130,198.7.63.141,56605,53,udp,0x00,0x40,65,hangout,chat,vpn,DNS
10.8.8.130,216.58.210.14,45184,443,tcp,0x00,0x40,268,hangout,chat,vpn,TLS
10.8.8.130,216.58.210.14,45184,443,tcp,0x00,0x40,241,hangout,chat,vpn,TLS
198.7.63.141,10.8.8.130,53,49258,udp,0x00,0x00,241,hangout,chat,vpn,DNS
78.46.223.24,10.8.8.130,53,49258,udp,0x00,0x00,241,hangout,chat,vpn,DNS
198.7.63.141,10.8.8.130,53,56605,udp,0x00,0x00,253,hangout,chat,vpn,DNS
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,52,hangout,chat,vpn,TCP
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,52,hangout,chat,vpn,TCP
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,180,hangout,chat,vpn,TLS
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,327,hangout,chat,vpn,TLS
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,98,hangout,chat,vpn,TLS
10.8.8.130,216.58.210.14,45184,443,tcp,0x00,0x40,52,hangout,chat,vpn,TCP
10.8.8.130,216.58.210.14,45184,443,tcp,0x00,0x40,98,hangout,chat,vpn,TLS
216.58.210.14,10.8.8.130,443,45184,tcp,0x00,0x00,52,hangout,chat,vpn,TCP
10.8.8.130,216.58.210.14,39450,80,tcp,0x00,0x40,52,hangout,chat,vpn,TCP
216.58.210.14,10.8.8.130,80,39450,tcp,0x00,0x00,52,hangout,chat,vpn,TCP
10.8.8.130,198.7.63.141,21390,53,udp,0x00,0x40,65,hangout,chat,vpn,DNS
10.8.8.130,198.7.63.141,35008,53,udp,0x00,0x40,65,hangout,chat,vpn,DNS
