src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,117,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,89,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,111,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,100,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,94,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,102,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,116,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,98,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,89,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,97,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,117,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,97,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,85,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,97,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,124,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,99,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,91,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,100,skype,audio,vpn,DATA
10.8.0.6,10.8.0.10,40273,18420,udp,0x00,0x40,164,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,31,skype,audio,vpn,DATA
10.8.0.10,10.8.0.6,18420,40273,udp,0x00,0x40,97,skype,audio,vpn,DATA
