src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
10.8.8.110,199.233.217.27,57425,123,udp,0x10,0x40,76,thunderbird,email,vpn,NTP
199.233.217.27,10.8.8.110,123,57425,udp,0x00,0x00,76,thunderbird,email,vpn,NTP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
10.8.8.110,216.58.208.46,33063,80,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
216.58.208.46,10.8.8.110,80,33063,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,595,thunderbird,email,vpn,TLS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,1107,thunderbird,email,vpn,TLS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,1360,thunderbird,email,vpn,TLS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,823,thunderbird,email,vpn,TCP.SEGMENTS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,1360,thunderbird,email,vpn,TLS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,707,thunderbird,email,vpn,TCP.SEGMENTS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,93,thunderbird,email,vpn,TLS
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,52,thunderbird,email,vpn,TCP
10.8.8.234,74.125.133.16,51055,993,tcp,0x00,0x40,94,thunderbird,email,vpn,TLS
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,52,thunderbird,email,vpn,TCP
74.125.133.16,10.8.8.234,993,51055,tcp,0x00,0x00,1360,thunderbird,email,vpn,TLS
